,mean,ci_lo,ci_hi
s_topk_ci@1,0.25182074597638526,0.2040170900274907,0.30005801716960034
s_greedy_ci@1,0.3374796607050674,0.285758290621324,0.39509247247777246
s_divgr_ci@1,0.3374796607050674,0.284361214303427,0.3962288226282825
s_random_ci@1,0.140479532840745,0.11276229894261422,0.17210963500306803
i_greedy_ci@1,0.15066415048609377,0.12215359249109099,0.17860542595464274
i_random_ci@1,0.05279021149639217,0.04229351894996825,0.06461364002115351
s_topk_ci@2,0.3299141145860797,0.2747272201460327,0.38174568076329296
s_greedy_ci@2,0.5819360655961814,0.5184121412694078,0.6496322007518829
s_divgr_ci@2,0.5819360655961814,0.5087314692356123,0.6552659538120759
s_random_ci@2,0.23408761668240866,0.1945815542751075,0.27809024371149804
i_greedy_ci@2,0.2734162905020376,0.2204930961466674,0.327878227211143
i_random_ci@2,0.10459990272960952,0.08285299978749314,0.12575866098299796
s_topk_ci@3,0.41639868069753067,0.3535163640419391,0.4795363337270467
s_greedy_ci@3,0.7159273542082256,0.6440439344367891,0.7780776184927078
s_divgr_ci@3,0.7159273542082256,0.6473667536484891,0.7834884217745134
s_random_ci@3,0.3054621644622366,0.2556680044536576,0.35332063946209535
i_greedy_ci@3,0.3366653851137732,0.2810973149265353,0.39063750716452367
i_random_ci@3,0.158189738752388,0.12745916866193732,0.1894402124198225
s_topk_ci@4,0.4542260610664675,0.38264022231465583,0.5247612283549784
s_greedy_ci@4,0.7956550769287969,0.7322437313988044,0.8556097963017416
s_divgr_ci@4,0.7956550769287969,0.73576787003483,0.8588672066964059
s_random_ci@4,0.36159619711745294,0.3093218365775159,0.4186938838913988
i_greedy_ci@4,0.36820955674151606,0.308395269312823,0.43138249058910927
i_random_ci@4,0.21020254643672873,0.16933192699339186,0.2555556565136286
s_topk_ci@5,0.4959139946418878,0.42432627915106963,0.5649278839807833
s_greedy_ci@5,0.8434060554633218,0.7833303780797541,0.8953985193012312
s_divgr_ci@5,0.8434060554633218,0.7844503086764232,0.898425994298103
s_random_ci@5,0.41293747012277754,0.3563633927411632,0.47750028071484224
i_greedy_ci@5,0.3862056867535918,0.33228708157145875,0.44238266939055604
i_random_ci@5,0.264280245795357,0.21407333835343878,0.322555308689768
