,value
mean_s_topk@1,0.25182074597638526
pct75_s_topk@1,4.651162790697675
mean_s_greedy@1,0.3374796607050674
pct75_s_greedy@1,9.30232558139535
mean_s_divgr@1,0.3374796607050674
pct75_s_divgr@1,9.30232558139535
mean_s_random@1,0.140479532840745
pct75_s_random@1,1.1627906976744187
mean_i_greedy@1,0.15066415048609377
pct75_i_greedy@1,0.0
mean_i_random@1,0.05279021149639217
pct75_i_random@1,0.0
s_greedy_over_random@1,0.19700012786432242
s_divgr_over_greedy@1,0.0
strain_vs_interaction_delta@1,0.18681551021897363
mean_s_covdrop@1,0.3374796607050674
mean_s_topk@2,0.3299141145860797
pct75_s_topk@2,8.13953488372093
mean_s_greedy@2,0.5819360655961814
pct75_s_greedy@2,31.3953488372093
mean_s_divgr@2,0.5819360655961814
pct75_s_divgr@2,31.3953488372093
mean_s_random@2,0.23408761668240866
pct75_s_random@2,2.3255813953488373
mean_i_greedy@2,0.2734162905020376
pct75_i_greedy@2,4.651162790697675
mean_i_random@2,0.10459990272960952
pct75_i_random@2,0.0
s_greedy_over_random@2,0.34784844891377276
s_divgr_over_greedy@2,0.0
strain_vs_interaction_delta@2,0.3085197750941438
mean_s_covdrop@2,0.3374796607050674
mean_s_topk@3,0.41639868069753067
pct75_s_topk@3,16.27906976744186
mean_s_greedy@3,0.7159273542082256
pct75_s_greedy@3,60.46511627906976
mean_s_divgr@3,0.7159273542082256
pct75_s_divgr@3,60.46511627906976
mean_s_random@3,0.3054621644622366
pct75_s_random@3,4.651162790697675
mean_i_greedy@3,0.3366653851137732
pct75_i_greedy@3,13.953488372093023
mean_i_random@3,0.158189738752388
pct75_i_random@3,0.0
s_greedy_over_random@3,0.410465189745989
s_divgr_over_greedy@3,0.0
strain_vs_interaction_delta@3,0.3792619690944524
mean_s_covdrop@3,0.3374796607050674
mean_s_topk@4,0.4542260610664675
pct75_s_topk@4,22.093023255813954
mean_s_greedy@4,0.7956550769287969
pct75_s_greedy@4,66.27906976744185
mean_s_divgr@4,0.7956550769287969
pct75_s_divgr@4,66.27906976744185
mean_s_random@4,0.36159619711745294
pct75_s_random@4,12.790697674418606
mean_i_greedy@4,0.36820955674151606
pct75_i_greedy@4,13.953488372093023
mean_i_random@4,0.21020254643672873
pct75_i_random@4,2.3255813953488373
s_greedy_over_random@4,0.43405887981134395
s_divgr_over_greedy@4,0.0
strain_vs_interaction_delta@4,0.4274455201872808
mean_s_covdrop@4,0.3374796607050674
mean_s_topk@5,0.4959139946418878
pct75_s_topk@5,26.744186046511626
mean_s_greedy@5,0.8434060554633218
pct75_s_greedy@5,75.5813953488372
mean_s_divgr@5,0.8434060554633218
pct75_s_divgr@5,75.5813953488372
mean_s_random@5,0.41293747012277754
pct75_s_random@5,17.441860465116278
mean_i_greedy@5,0.3862056867535918
pct75_i_greedy@5,13.953488372093023
mean_i_random@5,0.264280245795357
pct75_i_random@5,5.813953488372093
s_greedy_over_random@5,0.4304685853405443
s_divgr_over_greedy@5,0.0
strain_vs_interaction_delta@5,0.45720036870973
mean_s_covdrop@5,0.3374796607050674
