feature,importance_gain
ngram_c 0,169.11801147460938
genus_pos_rate,37.879737854003906
host_vuln,22.829553604125977
Homology,18.20999526977539
phage_breadth,16.626052856445312
ngram_ 029,15.800018310546875
ngram_0215,9.905509948730469
ngram_695,9.761764526367188
ngram_258,9.212562561035156
ngram_02898,9.20419692993164
ngram_592,8.729639053344727
ngram_ 20,8.576871871948242
ngram_g5926,7.844228744506836
ngram_c 04,6.544341564178467
ngram_ 04,6.5277228355407715
ngram_nc ,6.5225911140441895
ngram_ 02,6.238221645355225
ngram_542,5.9013519287109375
ngram_029,5.845987796783447
ngram_01525,5.729114532470703
ngram_1525,5.539393901824951
GCdiff,5.193001747131348
ngram_ 025,4.790003776550293
ngram_02542,4.64689826965332
ngram_0254,4.619800567626953
ngram_c 026,4.473828315734863
ngram_924,4.357317924499512
ngram_5926,4.3545308113098145
ngram_ 0215,4.303542137145996
k6dist,4.222250938415527
ngram_019,4.208079814910889
ngram_607,4.087447166442871
ngram_28908,4.0091681480407715
ngram_ 00,4.003365516662598
ngram_28695,3.9669291973114014
ngram_9452,3.949446678161621
ngram_59243,3.7551815509796143
ngram_021,3.75211501121521
k3dist,3.642565965652466
ngram_289,3.6331100463867188
ngram_010,3.595810651779175
ngram_693,3.5446083545684814
ngram_9010,3.5229053497314453
ngram_ 021,3.4633264541625977
ngram_253,3.448044776916504
ngram_03100,3.424099922180176
ngram_1783,3.329293966293335
ngram_19452,3.3088693618774414
ngram_ 026,3.2882792949676514
ngram_ 0288,3.243145704269409
ngram_0310,3.126534938812256
ngram_59245,3.123474597930908
ngram_ 027,3.110107898712158
ngram_926,3.064560651779175
ngram_ 0069,3.063173532485962
ngram_2542,3.0245890617370605
ngram_1095,3.0234885215759277
ngram_02178,3.02209734916687
ngram_8695,3.014819383621216
ngram_29010,3.004054546356201
ngram_ 020,2.9834892749786377
ngram_5.1,2.9627182483673096
ngram_9033,2.962100028991699
ngram_021 7,2.9386301040649414
ngram_ 03,2.9170446395874023
ngram_27375,2.8300912380218506
ngram_027,2.8030614852905273
ngram_923,2.7745108604431152
ngram_ 0310,2.7656829357147217
ngram_020,2.7554876804351807
ngram_5924,2.7210114002227783
ngram_008,2.6737637519836426
ngram_ 019,2.657118320465088
ngram_245,2.650714159011841
ngram_ 0287,2.637068510055542
ngram_3.1,2.614279270172119
ngram_452,2.5835154056549072
ngram_254,2.524939775466919
ngram_59262,2.5146734714508057
ngram_028,2.5128045082092285
ngram_563,2.507422924041748
ngram_21 9,2.4603590965270996
ngram_239,2.4533684253692627
ngram_ 15,2.415249824523926
ngram_388,2.3281846046447754
ngram_02737,2.2716689109802246
ngram_ 0273,2.253809690475464
ngram_6607,2.253120183944702
ngram_ 01,2.2396347522735596
ngram_18856,2.2365567684173584
ngram_ 028,2.154017686843872
ngram_288,2.0723326206207275
ngram_1 9,2.0544424057006836
ngram_1.1,2.0316991806030273
ngram_73.,2.026986837387085
ngram_02910,2.0068578720092773
ngram_257,1.9936299324035645
ngram_ 0291,1.984864354133606
ngram_262,1.9491289854049683
ngram_5925,1.9142608642578125
ngram_ 27,1.8985698223114014
ngram_59264,1.882605791091919
ngram_28758,1.8612996339797974
ngram_21783,1.851754903793335
ngram_21 27,1.8042494058609009
ngram_23007,1.8007373809814453
ngram_252,1.763087272644043
ngram_ 0188,1.7573113441467285
ngram_8856,1.727792501449585
ngram_582,1.7164585590362549
ngram_62.,1.711704969406128
ngram_29033,1.7109168767929077
ngram_c 01,1.6869069337844849
ngram_1 17,1.6569664478302002
ngram_ 17,1.62510085105896
ngram_28795,1.6172236204147339
ngram_525,1.614967942237854
ngram_106,1.6116622686386108
ngram_427,1.6059303283691406
ngram_16563,1.59089195728302
ngram_26607,1.5688378810882568
ngram_438,1.5643596649169922
ngram_29106,1.5503093004226685
ngram_244,1.5497748851776123
ngram_02903,1.5266321897506714
ngram_00693,1.5115711688995361
ngram_007,1.5086063146591187
ngram_945,1.4987170696258545
ngram_7.1,1.4948792457580566
ngram_456,1.4699811935424805
ngram_266,1.4535369873046875
ngram_ 0195,1.43656325340271
ngram_ 10,1.412510871887207
ngram_0069,1.363248348236084
ngram_0188,1.3579466342926025
ngram_2438,1.3450469970703125
ngram_1008,1.3391847610473633
ngram_165,1.328690767288208
ngram_1053,1.3201711177825928
ngram_783,1.2988287210464478
ngram_59256,1.284529209136963
ngram_300,1.2248995304107666
ngram_31008,1.1904048919677734
ngram_021 1,1.188866376876831
ngram_ 0286,1.0816612243652344
ngram_ 87,1.0445632934570312
ngram_c 021,0.7966995239257812
ngram_016,0.7626080513000488
ngram_15.,0.5934433937072754
ngram_102,0.5454469323158264
ngram_009,0.4328651428222656
ngram_021 3,0.4087858200073242
ngram_ 64,0.3732481002807617
ngram_ 0213,0.3713974058628082
ngram_0.1,0.0890645980834961
ngram_07.,0.03288841247558594
