genus,roc_auc,pr_auc,f1,mcc,n_test,n_pos,n_species
achromobacter,1.0,1.0,0.9333333333333333,0.0,8,7,1
acinetobacter,1.0,1.0000000000000002,1.0,1.0,45,41,4
aeromonas,0.9333333333333333,0.9855750487329434,0.8484848484848485,-0.12171612389003691,19,15,3
bacillus,0.8481912144702842,0.9279481148386097,0.8270042194092827,0.5578119552620284,189,129,14
brevibacillus,1.0,1.0,0.9411764705882353,0.0,9,8,2
brucella,1.0,1.0,1.0,1.0,13,10,11
burkholderia,1.0,0.9999999999999999,0.9824561403508771,0.0,29,28,6
campylobacter,1.0,1.0,1.0,1.0,8,6,2
citrobacter,0.9625,0.9898574561403508,0.9090909090909091,0.5830006053876384,21,16,2
clostridium,1.0,0.9999999999999999,1.0,1.0,42,38,5
corynebacterium,1.0,0.9999999999999998,0.9333333333333333,0.0,8,7,2
cronobacter,0.8454545454545455,0.9586116675073343,0.7567567567567568,0.3411211461689767,27,22,5
dickeya,1.0,1.0,1.0,1.0,5,1,5
enterobacter,0.95,0.9498251748251748,0.8235294117647058,0.7483314773547882,22,10,5
enterococcus,0.9987129987129987,0.9992791511283687,0.972972972972973,0.9253539253539254,58,37,2
enterovibrio,0.6527777777777777,0.49143122686853336,0.0,0.0,60,12,1
erwinia,1.0,0.9999999999999998,1.0,1.0,33,27,4
escherichia,0.9346846846846847,0.990853402877964,0.9649122807017545,0.6006729361246365,248,222,1
gordonia,1.0,0.9999999999999999,0.993103448275862,0.0,73,72,5
klebsiella,0.8292011019283746,0.9438594701915424,0.8055555555555556,-0.04134491152973615,44,33,2
lactobacillus,0.9904761904761905,0.994184515540913,0.958904109589041,0.8885233166386385,56,35,21
lactococcus,0.9785714285714285,0.9982023258260088,0.9482758620689654,-0.03857583749052298,61,56,2
leuconostoc,0.6686390532544378,0.6614096879279066,0.7428571428571429,0.4264014327112209,26,13,5
listeria,1.0,0.9999999999999999,0.9795918367346939,0.9627546685029047,53,24,3
mycobacterium,0.6138328530259366,0.9985987462235776,0.9971181556195965,-0.002881844380403458,348,347,5
paenibacillus,1.0,1.0,0.8750000000000001,0.7453559924999299,28,18,16
pantoea,0.2,0.5279365079365079,0.5,-0.47809144373375745,9,5,2
proteus,0.9090909090909092,0.9695910150455607,0.8421052631578948,0.6446583712203042,15,11,2
pseudoalteromonas,0.96,0.9633333333333334,0.7499999999999999,0.6546536707079772,10,5,6
pseudomonas,0.9850574712643679,0.9973653387705199,0.9775280898876404,0.8373164880132847,204,174,15
ralstonia,1.0,1.0,1.0,1.0,19,18,2
rhizobium,0.6375,0.8117063492063492,0.8000000000000002,0.3,14,10,5
rhodobacter,1.0,1.0,1.0,1.0,7,6,2
rhodococcus,1.0,0.9999999999999999,0.9333333333333333,0.7905694150420949,21,14,7
salmonella,0.9583333333333333,0.9931854305325155,0.9458128078817735,0.5526909262985187,115,99,7
serratia,1.0,1.0,1.0,1.0,8,3,2
shewanella,0.7175,0.44528456141381845,0.18181818181818182,0.2857142857142857,50,10,3
shigella,0.9197530864197531,0.9632721853387898,0.8717948717948718,0.5669467095138409,54,36,4
sinorhizobium,0.8,0.9183333333333332,0.9090909090909091,0.6454972243679028,7,5,1
staphylococcus,0.8079922664108603,0.7343892709760117,0.6068308181096109,0.3084968258598328,1206,439,31
streptococcus,1.0,1.0,0.8947368421052632,0.4698714938993647,45,34,13
streptomyces,1.0,0.9999999999999998,1.0,1.0,38,37,11
vibrio,0.8103640864629875,0.46343708812766704,0.48484848484848486,0.3404854661248008,1820,364,23
yersinia,0.9151515151515152,0.8600347337847337,0.896551724137931,0.768799968166877,26,15,10
